Iteración, distancia
0, 22407723
0, 22407723
1, 22406756
1, 22406756
2, 22405153
2, 22405153
3, 22403951
3, 22403951
4, 22403033
4, 22403033
5, 22402538
5, 22402538
6, 22402255
6, 22402255
7, 22402090
7, 22402090
8, 22401713
8, 22401713
9, 22401477
9, 22401477
10, 22401359
10, 22401359
11, 22401101
11, 22401101
12, 22400795
12, 22400795
13, 22400725
13, 22400725
14, 22400584
14, 22400584
15, 22400490
15, 22400490
16, 22400489
16, 22400489
17, 22400443
17, 22400443
18, 22400397
18, 22400397
19, 22400396
19, 22400396
20, 22400277
20, 22400277
21, 22400276
21, 22400276
22, 22400275
22, 22400275
23, 22400274
0, 22444611
24, 22400203
1, 22439330
25, 22400180
2, 22433391
26, 22400179
3, 22429243
27, 22400178
4, 22423397
28, 22400177
5, 22417764
29, 22400176
6, 22414040
30, 22400175
7, 22411966
31, 22400174
8, 22410434
0, 22713537
9, 22408172
1, 22704698
10, 22407111
2, 22696225
11, 22406286
3, 22688234
12, 22405626
4, 22680786
13, 22404777
5, 22673433
14, 22403834
6, 22665207
15, 22403080
7, 22657217
16, 22402491
8, 22649368
17, 22401925
9, 22642367
18, 22401760
10, 22635508
19, 22401430
11, 22628059
20, 22401171
12, 22621412
21, 22401100
13, 22614058
22, 22400981
14, 22607554
23, 22400957
15, 22601119
24, 22400792
16, 22594709
25, 22400721
17, 22588840
26, 22400509
