Iteración, distancia
0, 11977215
0, 11977215
0, 11977215
0, 11977215
0, 11977215
1, 11976531
1, 11976531
1, 11976531
1, 11976531
1, 11976531
2, 11976047
2, 11976047
2, 11976047
2, 11976047
2, 11976047
3, 11975574
3, 11975574
3, 11975574
3, 11975574
3, 11975574
4, 11975384
4, 11975384
4, 11975384
4, 11975384
4, 11975384
5, 11975175
5, 11975175
5, 11975175
5, 11975175
5, 11975175
6, 11975025
6, 11975025
6, 11975025
6, 11975025
6, 11975025
7, 11974884
7, 11974884
7, 11974884
7, 11974884
7, 11974884
8, 11974746
8, 11974746
8, 11974746
8, 11974746
8, 11974746
9, 11974598
9, 11974598
9, 11974598
9, 11974598
9, 11974598
10, 11974526
10, 11974526
10, 11974526
10, 11974526
10, 11974526
11, 11974423
11, 11974423
11, 11974423
11, 11974423
11, 11974423
12, 11974305
12, 11974305
12, 11974305
12, 11974305
12, 11974305
13, 11974201
13, 11974201
13, 11974201
13, 11974201
13, 11974201
14, 11974169
14, 11974169
14, 11974169
14, 11974169
14, 11974169
15, 11974146
15, 11974146
15, 11974146
15, 11974146
15, 11974146
0, 12054418
16, 11974099
16, 11974099
16, 11974099
16, 11974099
1, 12048714
17, 11974057
17, 11974057
17, 11974057
17, 11974057
2, 12040770
18, 11974033
18, 11974033
0, 12150392
18, 11974033
3, 12034383
19, 11974000
19, 11974000
1, 12141741
0, 12294616
4, 12030517
20, 11973964
20, 11973964
2, 12135141
1, 12285943
5, 12027029
21, 11973952
21, 11973952
3, 12128777
2, 12277577
6, 12023658
22, 11973903
22, 11973903
3, 12268620
4, 12121589
7, 12020147
23, 11973901
23, 11973901
4, 12258768
5, 12113858
8, 12016164
24, 11973875
0, 12029511
6, 12108413
5, 12250424
9, 12012959
25, 11973868
1, 12022982
7, 12102898
6, 12242717
10, 12010002
2, 12018411
26, 11973862
8, 12095874
7, 12234468
11, 12006797
27, 11973841
3, 12011811
9, 12090570
8, 12227467
12, 12003827
4, 12008512
28, 11973751
9, 12219619
10, 12086044
13, 12000386
5, 12005259
10, 12211864
11, 12081801
29, 11973670
14, 11997547
6, 12002376
12, 12078031
11, 12205006
30, 11973669
15, 11994954
7, 11999135
13, 12070983
12, 12198053
31, 11973668
16, 11992600
8, 11996244
14, 12067455
13, 12191807
32, 11973667
17, 11990422
9, 11993505
15, 12064061
14, 12185843
33, 11973666
18, 11988396
10, 11990936
15, 12177924
16, 12059653
34, 11973665
19, 11986122
11, 11987448
17, 12056259
16, 12173469
35, 11973664
20, 11984373
12, 11984712
18, 12053359
17, 12168166
36, 11973663
21, 11982723
13, 11981942
19, 12050038
18, 12161589
37, 11973641
22, 11981043
14, 11980127
20, 12045607
19, 12156569
38, 11973640
23, 11979039
15, 11978666
21, 12042520
20, 12151265
39, 11973639
24, 11977928
16, 11977232
22, 12038725
21, 12146386
40, 11972767
25, 11977316
17, 11976440
23, 12035425
22, 12140776
41, 11972766
26, 11976316
18, 11975794
24, 12032229
23, 12137217
42, 11972742
27, 11975741
19, 11975251
25, 12029402
24, 12132409
43, 11972741
28, 11974124
20, 11973946
25, 12127224
26, 12026453
44, 11972740
29, 11973682
21, 11973318
26, 12123845
27, 12023691
45, 11972739
30, 11972880
22, 11972317
27, 12120098
28, 12021075
46, 11972738
31, 11972392
23, 11971838
28, 12115007
29, 12018506
47, 11972737
32, 11971656
24, 11971476
29, 12111071
30, 12016010
48, 11972736
33, 11970517
25, 11971246
30, 12107464
31, 12013621
49, 11972735
